"target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"KCNK5",1.67111190344639e-191,3.88299561884804e-187,-2.6102844953144,0.0884290294794646,6.23477314496527,2.05338753023262,0.00296655349847824,0.00867342936278005,0.00876298638354179,0.00876298638354179
"APOH",2.7393521248084e-171,3.1825792986024e-167,-2.91259356126557,0.104397566523962,6.37058718247185,2.55803899821305,0.00403682695761268,0.0123114508865749,0.00822843692343698,0.0123114508865749
"NR4A1",1.7978086066586e-147,1.39246269281064e-143,-2.17874712092409,0.0842461367864419,6.83590898231156,1.42899363808839,0.00381108318012211,0.00232883307973767,0.00683503416503771,0.00683503416503771
"MSTRG.25851",3.48824235084843e-139,2.02631998160785e-135,4.36684683805871,0.173880250743387,5.49541634210196,5.72678641510071,0.0320465231837208,-0.0245702444565881,0.0133049892141541,0.0133049892141541
"MSTRG.20766",6.92756997188903e-119,3.21938031733627e-115,-2.01865831456044,0.0870789322026842,6.37335960463446,1.22632850323673,0.00315591203091692,0.00163669541099436,0.0082181986194226,0.0082181986194226
"MSTRG.12842",1.43839391201982e-115,5.57042015661543e-112,1.50205954019594,0.0657336543924079,7.4474720673722,0.681774928598595,0.000683257003161433,0.00546683038497115,0.00579811297650936,0.00579811297650936
"LOXL2",1.05759881262776e-108,3.51062371574552e-105,2.02557271125396,0.0914505297491177,5.80901742282293,1.24032719503925,0.00155932313220653,0.0102453674505867,0.0109854759548849,0.0109854759548849
"MSTRG.5365",4.53651701590883e-107,1.31763136727072e-103,1.57836803703389,0.0718113207272182,7.94988292323862,0.753561937040575,0.000664571016750115,0.00707072766013098,0.00532551798271123,0.00707072766013098
"EFHD2",1.93415681405753e-103,4.9935630812712e-100,1.45918123578679,0.0675653846542748,7.26712398254685,0.643654693305956,0.00080952087266104,0.00530514118268456,0.00603810093255913,0.00603810093255913
"PMP22",5.15665883872401e-101,1.19820124776591e-97,1.66748265210251,0.0781500566942446,6.35847029634696,0.835670123821264,0.00088766573575359,0.00101309089226299,0.00827348130621688,0.00827348130621688
"COL5A1",9.43405970935318e-96,1.9928164673321e-92,2.23257848790461,0.107528896163555,5.34450113957076,1.4996997420168,0.00267832738795584,0.00279383588763309,0.014665367877273,0.014665367877273
