"","target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"1","NR4A1",1.47172566090106e-08,8.78661053075234e-05,32.0902699500578,7.14496819044197,1,6.83590898231156,1.42899363808839,0.00381108318012211,1.42518255490827,0.0181471476624869,1.42518255490827
"2","PMP22",2.26887860150258e-08,8.78661053075234e-05,31.2496545130051,4.17835061910632,1,6.35847029634696,0.835670123821264,0.00088766573575359,0.83478245808551,0.021129236078598,0.83478245808551
"3","APOH",2.19124913151247e-08,8.78661053075234e-05,31.3172419986718,12.7901949910653,1,6.37058718247185,2.55803899821305,0.00403682695761268,2.55400217125544,0.0210361977374333,2.55400217125544
"4","MSTRG.20766",2.10284241589995e-08,8.78661053075234e-05,31.3971972207014,6.13164251618365,1,6.37335960463446,1.22632850323673,0.00315591203091692,1.22317259120581,0.0210150093684221,1.22317259120581
"5","KCNK5",1.52487055711688e-08,8.78661053075234e-05,32.0213550322202,10.2669376511631,1,6.23477314496527,2.05338753023262,0.00296655349847824,2.05042097673415,0.0221257035594948,2.05042097673415
"6","MSTRG.25851",7.61357790300185e-09,8.78661053075234e-05,33.371390526844,28.6339320755036,1,5.49541634210196,5.72678641510071,0.0320465231837208,5.69473989191699,0.0313332544990157,5.69473989191699
"7","COL5A1",3.3443587339082e-08,0.000111013599344416,30.496694389961,7.49849871008398,1,5.34450113957076,1.4996997420168,0.00267832738795584,1.49702141462884,0.0341046013062154,1.49702141462884
"8","EFHD2",8.50412760096889e-08,0.000125811247562488,28.6877202297848,3.21827346652978,1,7.26712398254685,0.643654693305956,0.00080952087266104,0.642845172433294,0.0165113155481094,0.642845172433294
"9","KCNH1",1.19038451520467e-07,0.000125811247562488,28.0366666489969,9.20488130338989,1,5.30027219787347,1.84097626067798,0.011105485424869,1.82987077525311,0.0349854444470001,1.82987077525311
"10","MSTRG.5365",9.49601977736663e-08,0.000125811247562488,28.4741027010707,3.76780968520287,1,7.94988292323862,0.753561937040575,0.000664571016750115,0.752897366023823,0.0150852970058521,0.752897366023823
"11","P4HA3",1.07025949694445e-07,0.000125811247562488,28.2425467036172,7.78368963040167,1,5.67366385820094,1.55673792608034,0.0128711604842366,1.5438667655961,0.0284881185731169,1.5438667655961
"12","TAGLN",8.52910681617537e-08,0.000125811247562488,28.6820403688559,5.33484989638151,1,6.26928973094498,1.0669699792763,0.00624738509843222,1.06072259417787,0.0218382419077992,1.06072259417787
"13","KIRREL3",1.09599857616707e-07,0.000125811247562488,28.1965481117594,10.552913927098,1,5.17157135078026,2.11058278541961,0.0257977075496998,2.0847850778699,0.0378681446042541,2.0847850778699
"14","MSTRG.6791",1.29947923114981e-07,0.000125811247562488,27.8669903637045,4.50061365677077,1,8.00293377144895,0.900122731354152,0.00813367389853721,0.891989057455616,0.0150238395823109,0.891989057455616
"15","HAPLN3",8.63396185221095e-08,0.000125811247562488,28.6583785121753,8.83371855783564,1,5.72283354598633,1.76674371156713,0.0162405129051493,1.75050319866198,0.0277783580681311,1.75050319866198
"16","CX3CL1",1.05103241297454e-07,0.000125811247562488,28.2776368446251,20.9608940831241,1,4.73091084701446,4.19217881662482,0.0341622320395141,4.15801658458531,0.0509604639818868,4.15801658458531
"17","MSTRG.12842",6.73651138473813e-08,0.000125811247562488,29.1390582944247,3.40887464299297,1,7.4474720673722,0.681774928598595,0.000683257003161433,0.681091671595433,0.0160146081598221,0.681091671595433
"18","MSTRG.16439",8.85238063266087e-08,0.000125811247562488,28.6100006955952,3.95359903930632,1,6.18898497107812,0.790719807861265,0.00267720670673132,0.788042601154533,0.0225200651577616,0.788042601154533
"19","SERPINE2",1.18264600680366e-07,0.000125811247562488,28.0492882270624,2.86689092115616,1,6.47667086654017,0.573378184231233,0.00177731743171262,0.57160086679952,0.0202501598210612,0.57160086679952
"20","MSTRG.17552",7.27991048107482e-08,0.000125811247562488,28.9887700195338,47.022852574789,1,2.10462982906342,9.40457051495781,0.00912037035867921,9.39545014459913,0.284399974893418,9.39545014459913
"21","FGFR4",9.584342879395e-08,0.000125811247562488,28.4561782415496,3.50981508711567,1,6.53236864579729,0.701963017423134,0.00137056092904918,0.700592456494086,0.0198664216303197,0.700592456494086
"22","TSPAN13",1.25159463697085e-07,0.000125811247562488,27.9396370046245,2.72802601131371,1,6.51200650619832,0.545605202262741,0.00112608223942837,0.544479120023314,0.0200039511536133,0.544479120023314
"23","STEAP1",1.19846686560826e-07,0.000125811247562488,28.0235717457283,2.9062363934214,1,6.09207973799443,0.58124727868428,0.00208601213133595,0.579161266552945,0.0234112442803527,0.579161266552945
"24","LOXL2",8.0295257319212e-08,0.000125811247562488,28.7989349128783,6.20163597519626,1,5.80901742282293,1.24032719503925,0.00155932313220653,1.23876787190705,0.0266074444628446,1.23876787190705
"25","SEMA4G",1.56312127742651e-07,0.000129716735722437,27.5096562398832,4.73377387094234,1,5.78879295989227,0.946754774188467,0.00394038498378048,0.942814389204688,0.0268740592598624,0.942814389204688
"26","FOS",1.41393818264215e-07,0.000129716735722437,27.7036753682369,2.42714649596592,1,7.44945551567982,0.485429299193182,0.000849682472408369,0.484579616720775,0.0160096480363804,0.484579616720775
"27","NPTX1",1.51148977491835e-07,0.000129716735722437,27.5746216914615,21.7710618915192,1,6.35452676376822,4.35421237830384,0.00515178443148529,4.34906059387235,0.0211596717193518,4.34906059387235
