"target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"KCNK5",2.95136174524214e-185,6.94101255246047e-181,-2.60947626690156,0.0898963865678376,6.23477250313205,2.05213555715053,0.00331745073196154,0.00833960038526293,0.00880458974496959,0.00880458974496959
"APOH",2.69505306338356e-172,3.16911289723273e-168,-2.91184253159774,0.104061481025334,6.370601695466,2.55664262884627,0.00343902548715028,0.0128041622626285,0.00824334736739627,0.0128041622626285
"MSTRG.25821",5.26008056404707e-152,4.1235524901753e-148,4.36758189163571,0.16631018694354,5.49546888287036,5.72863254325692,0.027856116133211,-0.0204797796161171,0.0136325012885816,0.0136325012885816
"NR4A1",2.24203220016699e-132,1.31820283208818e-128,-2.1770366811364,0.0889203734404069,6.83547937817121,1.42669197750144,0.00504669117350854,0.00101001407326221,0.0068135580456636,0.0068135580456636
"MSTRG.5350",5.49046280702309e-109,2.58249408591138e-105,1.57919422731494,0.0712025489421371,7.94987759638496,0.754240085846478,0.000698955305750681,0.00690574915803546,0.00527303398357924,0.00690574915803546
"LOXL2",7.24849523565657e-104,2.84116851586952e-100,2.02560255922534,0.0935964181404598,5.80938301133697,1.24039639011414,0.00200220466638759,0.0098436349986963,0.0111382295666981,0.0111382295666981
"EFHD2",1.44350736937653e-102,4.84977233042818e-99,1.45987229840318,0.0678899575271229,7.26717074887813,0.644297580236145,0.00091199582969904,0.00524980659861431,0.00600157366985279,0.00600157366985279
"PMP22",3.12047673478402e-98,9.17342148108132e-95,1.6677450031124,0.0792833023860516,6.35870020911023,0.835945306120725,0.00113911458034603,0.000777494793164985,0.00828964847551113,0.00828964847551113
"COL5A1",2.58920513052469e-95,6.76588069551995e-92,2.23269208362837,0.107786517383257,5.3447516813764,1.49980952562662,0.00238601194693071,0.0030331674750514,0.0150408880474861,0.0150408880474861
"NPTX1",1.2392502159118e-92,2.91446865778136e-89,3.792228456122,0.18576018368892,6.35455823634095,4.3557072140394,0.00522120510017087,0.0465390636660412,0.00830588726842099,0.0465390636660412
"HAPLN3",1.03107232093543e-90,2.20443262215996e-87,2.44873797362682,0.121240021971859,5.72047060846065,1.80968162826195,0.0102708796808515,0.00321203184085133,0.0117778347107539,0.0117778347107539
"MSTRG.12815",6.56015147443746e-88,1.28568035313183e-84,1.48678450338541,0.0748028212113704,7.07774585246654,0.669873002325517,0.0014156169046987,0.00697757618707166,0.00631111399813198,0.00697757618707166
"CX3CL1",1.09606289990684e-87,1.98286209846224e-84,-3.72455702199699,0.187632544198591,4.73082734033739,4.1905347163431,0.0297774950336156,0.00626902160510342,0.0230314624300387,0.0230314624300387
"AGR2",4.97323162432672e-86,8.35431866720828e-83,-2.00809614128794,0.102153466414142,8.55803389098382,1.22225743063716,0.000584915600670675,0.0150680804499671,0.00503116787545598,0.0150680804499671
"FOS",1.03520889215165e-85,1.62306951504149e-82,-1.26616550567143,0.0645330904780492,7.44960597798723,0.48503170030237,0.000492866160897757,0.00460610130999698,0.00575391348907438,0.00575391348907438
"FGFR4",2.92159833509759e-85,4.29438435280156e-82,-1.52378098314223,0.0778726852267647,6.53243016513446,0.701434162351952,0.00143219916574562,0.00464482205448157,0.00766403349089454,0.00766403349089454
"PTRF",6.22368928042253e-83,8.60992497041041e-80,1.5208938799302,0.0788339027960507,9.09399165011429,0.701393199278814,0.000359287874837361,0.0089628884702484,0.00510495626429089,0.0089628884702484
"KCNH1",9.48444082193336e-83,1.23919488472349e-79,2.46930038131303,0.128138271230511,5.30026567700466,1.84224441847024,0.00913506326210201,0.00712881989344597,0.015494061568814,0.015494061568814
"PTGES",6.02008475547635e-81,7.45159754101541e-78,1.39263396676842,0.0730865843391234,6.83441479540805,0.587747103628852,0.00119639788877827,0.00620146962335673,0.00681607532676142,0.00681607532676142
"MSTRG.16387",1.34483930910336e-79,1.58139654357464e-76,1.62022888627712,0.0857658601892526,6.18898540624154,0.791492686783726,0.00202284092559222,0.00291490108152087,0.00901083323541143,0.00901083323541143
"P4HA3",1.35273636902987e-77,1.51493590127831e-74,2.27593612913665,0.122058192513784,5.67489937243219,1.5614135387922,0.0102201073810425,-0.000910157856871395,0.0121271961585556,0.0121271961585556
"LGALS1",1.71000134951196e-76,1.82799144262829e-73,1.09105003043251,0.0589433144363207,8.67209453126281,0.36082278557112,0.000186953949933085,0.00444521467392085,0.00502451752517537,0.00502451752517537
"FGG",3.85275060838398e-76,3.93952125252063e-73,-2.47333315119677,0.133937310525156,7.94495322683875,1.85674010682354,0.001067105462983,0.0258416992630852,0.00527646205800803,0.0258416992630852
"AXL",3.3332115655661e-75,3.26626956662432e-72,2.07962059644665,0.113334068995292,7.70783552401376,1.31286008098358,0.00156250391658185,0.0177044128759624,0.00547137765431198,0.0177044128759624
"SH3BGRL2",1.59674752146914e-74,1.50209232839645e-71,-2.38666337531574,0.130674744631,5.74833541845755,1.7293396867833,0.00446019741394012,0.0211536359126255,0.0115713089217869,0.0211536359126255
"AKR1B1",4.5910048209413e-74,4.15274043764991e-71,1.06656406078705,0.0585817963108718,8.9884393005207,0.34396474520141,7.85901111526056e-05,0.00329275547964886,0.00506915017736011,0.00506915017736011
"CXCL5",1.16666518624051e-72,1.01620858703720e-69,1.97391689850163,0.109489440858991,8.06379286964508,1.18328990184863,0.000444924132642414,0.0175369823567792,0.0052005439444652,0.0175369823567792
