"target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"NR4A1",1.80215440852001e-08,0.000115527472824624,31.696837287833,7.13345988750718,1,6.83547937817121,1.42669197750144,0.00504669117350854,1.42164528632793,0.0182261397874591,1.42164528632793
"PMP22",2.45615003028796e-08,0.000115527472824624,31.0956991430329,4.17972653060362,1,6.35870020911023,0.835945306120725,0.00113911458034603,0.834806191540378,0.0212159456242762,0.834806191540378
"APOH",2.15163752005927e-08,0.000115527472824624,31.3526595889061,12.7832131442314,1,6.370601695466,2.55664262884627,0.00343902548715028,2.55320360335912,0.0211243018362601,2.55320360335912
"KCNK5",1.58755151895147e-08,0.000115527472824624,31.9431016576568,10.2606777857526,1,6.23477250313205,2.05213555715053,0.00331745073196154,2.04881810641857,0.0222131312114262,2.04881810641857
"MSTRG.25821",5.93546054924041e-09,0.000115527472824624,33.8557108790978,28.6431627162846,1,5.49546888287036,5.72863254325692,0.027856116133211,5.70077642712371,0.0315057265202716,5.70077642712371
"COL5A1",3.36179706769065e-08,0.000131771239063248,30.4866050559776,7.49904762813308,1,5.3447516813764,1.49980952562662,0.00238601194693071,1.49742351367969,0.034330387058872,1.49742351367969
"EFHD2",8.70280448088435e-08,0.000134059065927481,28.6429993802844,3.22148790118072,1,7.26717074887813,0.644297580236145,0.00091199582969904,0.643385584406445,0.0165572223924326,0.643385584406445
"KCNH1",1.0675491623914e-07,0.000134059065927481,28.2474547368081,9.21122209235119,1,5.30026567700466,1.84224441847024,0.00913506326210201,1.83310935520814,0.0352304960130437,1.83310935520814
"KCNMA1",1.72056951860271e-07,0.000134059065927481,27.3240621568675,17.823099542658,1,5.80517145665888,3.56461990853159,0.0464886700829123,3.51813123844868,0.0267372803758107,3.51813123844868
"MSTRG.5350",8.9828883900817e-08,0.000134059065927481,28.5816620163265,3.77120042923239,1,7.94987759638496,0.754240085846478,0.000698955305750681,0.753541130540727,0.0150706268744104,0.753541130540727
"P4HA3",7.9696332438241e-08,0.000134059065927481,28.8134355735968,7.80706769396098,1,5.67489937243219,1.5614135387922,0.0102201073810425,1.55119343141115,0.0285792563457243,1.55119343141115
"TAGLN",1.13591340617364e-07,0.000134059065927481,28.1273143709643,5.34514527187507,1,6.26877599332443,1.06902905437501,0.00842615830682978,1.06060289606818,0.0219307811752431,1.06060289606818
"KIRREL3",7.22854895947286e-08,0.000134059065927481,29.0024855856486,10.5612629117818,1,5.17148732710407,2.11225258235637,0.0198242441221359,2.09242833823423,0.0381149650303347,2.09242833823423
"MSTRG.6744",1.45120907769226e-07,0.000134059065927481,27.6533449094807,4.4966734056999,1,8.00324332938379,0.899334681139976,0.00903852739076677,0.890296153749213,0.0150045966553332,0.890296153749213
"FOS",1.31238635034117e-07,0.000134059065927481,27.8478675484681,2.42515850151185,1,7.44960597798723,0.48503170030237,0.000492866160897757,0.484538834141473,0.0160376197499413,0.484538834141473
"HAPLN3",7.23824369135962e-08,0.000134059065927481,28.9998892464748,9.04840814130975,1,5.72047060846065,1.80968162826195,0.0102708796808515,1.7994107485811,0.0279085368933919,1.7994107485811
"CX3CL1",9.30674757173308e-08,0.000134059065927481,28.5130832638118,20.9526735817155,1,4.73082734033739,4.1905347163431,0.0297774950336156,4.16075722130949,0.0512811991694907,4.16075722130949
"OSGIN1",1.76282789877173e-07,0.000134059065927481,27.2771452952394,2.12405697774759,1,7.34469371524799,0.424811395549517,0.00120270301408217,0.423608692535436,0.0163248345313524,0.423608692535436
"MSTRG.12815",1.76204638496685e-07,0.000134059065927481,27.2780026871621,3.34936501162758,1,7.07774585246654,0.669873002325517,0.0014156169046987,0.668457385420817,0.017201710297486,0.668457385420817
"NPTX1",1.49509491851332e-07,0.000134059065927481,27.5957165479615,21.778536070197,1,6.35455823634095,4.3557072140394,0.00522120510017087,4.35048600893923,0.0212479854396202,4.35048600893923
"MSTRG.16387",7.82968077031844e-08,0.000134059065927481,28.8477498818744,3.95746343391863,1,6.18898540624154,0.791492686783726,0.00202284092559222,0.789469845858133,0.0226057427617981,0.789469845858133
"SERPINE2",1.26697788760242e-07,0.000134059065927481,27.9159994519157,2.87040527625356,1,6.47662846654233,0.574081055250713,0.00210609736101443,0.571974957889698,0.0203344758035635,0.571974957889698
"MSTRG.17503",8.53642597183178e-08,0.000134059065927481,28.6803792710023,47.0287859020779,1,2.10482429680089,9.40575718041558,0.0119294255475832,9.393827754868,0.293027426816279,9.393827754868
"MSTRG.20725",8.28470535742451e-08,0.000134059065927481,28.7383438685931,6.12431060275769,1,6.18836785381424,1.22486212055154,0.0109689937093636,1.21389312684218,0.0226111431564994,1.21389312684218
"FGFR4",9.87022243263487e-08,0.000134059065927481,28.3992758061725,3.50717081175977,1,6.53243016513446,0.701434162351952,0.00143219916574562,0.700001963186208,0.0199490135852584,0.700001963186208
"MSTRG.24312",1.76708522993108e-07,0.000134059065927481,27.2724812945152,4.18930748060998,1,6.44182062524917,0.837861496121997,0.00628877790575321,0.831572718216243,0.020587440574558,0.831572718216243
"TSPAN13",1.35972156252538e-07,0.000134059065927481,27.7793148561765,2.72548965826303,1,6.51207485002223,0.545097931652605,0.00149628608588226,0.543601645566723,0.0200868364557608,0.543601645566723
"STEAP1",1.25783040264783e-07,0.000134059065927481,27.9300203669556,2.90305136683168,1,6.09211448324437,0.580610273366337,0.00222531174347351,0.578384961622863,0.0234916896884826,0.578384961622863
